Username,director_name,genres,movie_title,plot_keywords,duration,actor_1_name,actor_2_name,actor_3_name,gross,title_year,content_rating,language,num_user_for_reviews,imdb_score,country,num_voted_users,cast_total_facebook_likes,movie_imdb_link,movie_facebook_likes
Shahood,Gore Verbinski,Action|Adventure|Fantasy,Pirates of the Caribbean: At World's EndÂ ,goddess|marriage ceremony|marriage proposal|pirate|singapore,169.0,Johnny Depp,Orlando Bloom,Jack Davenport,309404152.0,2007.0,PG-13,English,1238.0,7.1,USA,471220.0,48350.0,http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1,0.0
Shahood,James Cameron,Drama|Romance,TitanicÂ ,artist|love|ship|titanic|wet,194.0,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,658672302.0,1997.0,PG-13,English,2528.0,7.7,USA,793059.0,45223.0,http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1,26000.0
Shahood,Peter Berg,Action|Adventure|Sci-Fi|Thriller,BattleshipÂ ,box office flop|hawaii|naval|oahu hawaii|ship,131.0,Liam Neeson,Alexander SkarsgÃƒÂ¥rd,Tadanobu Asano,65173160.0,2012.0,PG-13,English,751.0,5.9,USA,202382.0,26679.0,http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1,44000.0
Shahood,Colin Trevorrow,Action|Adventure|Sci-Fi|Thriller,Jurassic WorldÂ ,dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor,124.0,Bryce Dallas Howard,Judy Greer,Omar Sy,652177271.0,2015.0,PG-13,English,1290.0,7.0,USA,418214.0,8458.0,http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1,150000.0
,James Cameron,Action|Adventure|Fantasy|Sci-Fi,AvatarÂ ,avatar|future|marine|native|paraplegic,178.0,CCH Pounder,Joel David Moore,Wes Studi,760505847.0,2009.0,PG-13,English,3054.0,7.9,USA,886204.0,4834.0,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,33000.0
d,,,,,,,,,,,,,,,,,,,
,Rob Letterman,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Monsters vs. AliensÂ ,alien|alien invasion|alien space craft|giant|giantess,94.0,Amy Poehler,Rainn Wilson,Stephen Colbert,198332128.0,2009.0,PG,English,187.0,6.5,USA,114553.0,2579.0,http://www.imdb.com/title/tt0892782/?ref_=fn_tt_tt_1,0.0
Shahood,Kinka Usher,Action|Comedy|Fantasy|Sci-Fi,Mystery MenÂ ,bowling|rajah|sphinx|spleen|superhero,121.0,Janeane Garofalo,Wes Studi,Eddie Izzard,29655590.0,1999.0,PG-13,English,435.0,6.0,USA,53970.0,3986.0,http://www.imdb.com/title/tt0132347/?ref_=fn_tt_tt_1,0.0
Basil,Jim Gillespie,Horror|Mystery|Thriller,I Know What You Did Last Summerï¿½,beach|corpse|fourth of july|overalls|revenge,99.0,Muse Watson,Sarah Michelle Gellar,Anne Heche,72219395.0,1997.0,R,English,419.0,5.6,USA,105585.0,50284.0,http://www.imdb.com/title/tt0119345/?ref_=fn_tt_tt_1,0.0
Shahood,Rob Letterman,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Monsters vs. Aliensï¿½,alien|alien invasion|alien space craft|giant|giantess,94.0,Amy Poehler,Rainn Wilson,Stephen Colbert,198332128.0,2009.0,PG,English,187.0,6.5,USA,114553.0,2579.0,http://www.imdb.com/title/tt0892782/?ref_=fn_tt_tt_1,0.0
Basil,James Toback,Comedy|Crime|Drama|Romance|Thriller,Harvard Manï¿½,basketball|cheerleader|college|harvard|philosophy,99.0,Sarah Michelle Gellar,Eric Stoltz,Joey Lauren Adams,56007.0,2001.0,R,English,69.0,4.9,USA,3754.0,6776.0,http://www.imdb.com/title/tt0242508/?ref_=fn_tt_tt_1,113.0
Shahood,Marc Forster,Action|Adventure,Quantum of Solaceï¿½,action hero|attempted rape|bond girl|official james bond series|revenge,106.0,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,168368427.0,2008.0,PG-13,English,1243.0,6.7,UK,330784.0,2023.0,http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1,
Shahood,Jon Gunn,Documentary,My Date with Drewï¿½,actress name in title|crush|date|four word title|video camera,90.0,John August,Brian Herzlinger,Jon Gunn,85222.0,2004.0,PG,English,84.0,6.6,USA,4285.0,163.0,http://www.imdb.com/title/tt0378407/?ref_=fn_tt_tt_1,
Shahood,Robert Rodriguez,Action|Crime|Drama|Romance|Thriller,El Mariachi ,assassin|death|guitar|gun|mariachi,81.0,Carlos Gallardo,Peter Marquardt,Consuelo GÃ³mez,2040920.0,1992.0,R,Spanish,130.0,6.9,USA,52055.0,147.0,http://www.imdb.com/title/tt0104815/?ref_=fn_tt_tt_1,
Shahood,John Waters,Comedy|Crime|Horror,Pink Flamingos ,absurd humor|egg|gross out humor|lesbian|sex,108.0,Divine,Mink Stole,Edith Massey,180483.0,1972.0,NC-17,English,183.0,6.1,USA,16792.0,760.0,http://www.imdb.com/title/tt0069089/?ref_=fn_tt_tt_1,
Shahood,David Gordon Green,Drama,George Washington ,cover up|north carolina|redemption|small town|teenager,90.0,Paul Schneider,Eddie Rouse,Damian Jewan Lee,241816.0,2000.0,Unrated,English,76.0,7.5,USA,6246.0,642.0,http://www.imdb.com/title/tt0262432/?ref_=fn_tt_tt_1,
Shahood,James Cameron,Action|Adventure|Fantasy|Sci-Fi,Avatar ,avatar|future|marine|native|paraplegic,178.0,CCH Pounder,Joel David Moore,Wes Studi,760505847.0,2009.0,PG-13,English,3054.0,7.9,USA,886204.0,4834.0,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,
Shahood,Andrew Stanton,Action|Adventure|Sci-Fi,John Carter ,alien|american civil war|male nipple|mars|princess,132.0,Daryl Sabara,Samantha Morton,Polly Walker,73058679.0,2012.0,PG-13,English,738.0,6.6,USA,212204.0,1873.0,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1,
Shahood,Andrew Stanton,Action|Adventure|Sci-Fi,John Carter ,alien|american civil war|male nipple|mars|princess,132.0,Daryl Sabara,Samantha Morton,Polly Walker,73058679.0,2012.0,PG-13,English,738.0,6.6,USA,212204.0,1873.0,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1,
Shahood,Les Mayfield,Action|Comedy|Crime,Code Name: The Cleaner ,comic violence|hand to hand combat|kung fu|talking to self in mirror|violence,91.0,Callum Rennie,Will Patton,Cedric the Entertainer,8104069.0,2007.0,PG-13,English,26.0,4.5,USA,9785.0,2700.0,http://www.imdb.com/title/tt0462229/?ref_=fn_tt_tt_1,
Shahood,James Cameron,Action|Adventure|Fantasy|Sci-Fi,Avatar ,avatar|future|marine|native|paraplegic,178.0,CCH Pounder,Joel David Moore,Wes Studi,760505847.0,2009.0,PG-13,English,3054.0,7.9,USA,886204.0,4834.0,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,
Shahood,James Cameron,Action|Adventure|Fantasy|Sci-Fi,Avatar ,avatar|future|marine|native|paraplegic,178.0,CCH Pounder,Joel David Moore,Wes Studi,760505847.0,2009.0,PG-13,English,3054.0,7.9,USA,886204.0,4834.0,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,
Shahood,James Cameron,Action|Adventure|Fantasy|Sci-Fi,Avatar ,avatar|future|marine|native|paraplegic,178.0,CCH Pounder,Joel David Moore,Wes Studi,760505847.0,2009.0,PG-13,English,3054.0,7.9,USA,886204.0,4834.0,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,
Shahood,James Cameron,Action|Adventure|Fantasy|Sci-Fi,Avatar ,avatar|future|marine|native|paraplegic,178.0,CCH Pounder,Joel David Moore,Wes Studi,760505847.0,2009.0,PG-13,English,3054.0,7.9,USA,886204.0,4834.0,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,
Shahood,James Cameron,Action|Adventure|Fantasy|Sci-Fi,Avatar ,avatar|future|marine|native|paraplegic,178.0,CCH Pounder,Joel David Moore,Wes Studi,760505847.0,2009.0,PG-13,English,3054.0,7.9,USA,886204.0,4834.0,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,
Shahood,James Cameron,Action|Adventure|Fantasy|Sci-Fi,Avatar ,avatar|future|marine|native|paraplegic,178.0,CCH Pounder,Joel David Moore,Wes Studi,760505847.0,2009.0,PG-13,English,3054.0,7.9,USA,886204.0,4834.0,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,
Shahood,Les Mayfield,Action|Comedy|Crime,Code Name: The Cleaner ,comic violence|hand to hand combat|kung fu|talking to self in mirror|violence,91.0,Callum Rennie,Will Patton,Cedric the Entertainer,8104069.0,2007.0,PG-13,English,26.0,4.5,USA,9785.0,2700.0,http://www.imdb.com/title/tt0462229/?ref_=fn_tt_tt_1,
Shahood,Les Mayfield,Action|Comedy|Crime,Code Name: The Cleaner ,comic violence|hand to hand combat|kung fu|talking to self in mirror|violence,91.0,Callum Rennie,Will Patton,Cedric the Entertainer,8104069.0,2007.0,PG-13,English,26.0,4.5,USA,9785.0,2700.0,http://www.imdb.com/title/tt0462229/?ref_=fn_tt_tt_1,
Shahood,James Cameron,Action|Adventure|Fantasy|Sci-Fi,Avatar ,avatar|future|marine|native|paraplegic,178.0,CCH Pounder,Joel David Moore,Wes Studi,760505847.0,2009.0,PG-13,English,3054.0,7.9,USA,886204.0,4834.0,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,
Shahood,James Cameron,Action|Adventure|Fantasy|Sci-Fi,Avatar ,avatar|future|marine|native|paraplegic,178.0,CCH Pounder,Joel David Moore,Wes Studi,760505847.0,2009.0,PG-13,English,3054.0,7.9,USA,886204.0,4834.0,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,
Shahood,Les Mayfield,Action|Comedy|Crime,Code Name: The Cleaner ,comic violence|hand to hand combat|kung fu|talking to self in mirror|violence,91.0,Callum Rennie,Will Patton,Cedric the Entertainer,8104069.0,2007.0,PG-13,English,26.0,4.5,USA,9785.0,2700.0,http://www.imdb.com/title/tt0462229/?ref_=fn_tt_tt_1,
Shahood,Les Mayfield,Action|Comedy|Crime,Code Name: The Cleaner ,comic violence|hand to hand combat|kung fu|talking to self in mirror|violence,91.0,Callum Rennie,Will Patton,Cedric the Entertainer,8104069.0,2007.0,PG-13,English,26.0,4.5,USA,9785.0,2700.0,http://www.imdb.com/title/tt0462229/?ref_=fn_tt_tt_1,
Shahood,Nathan Greno,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Tangled ,17th century|based on fairy tale|disney|flower|tower,100.0,Brad Garrett,Donna Murphy,M.C. Gainey,200807262.0,2010.0,PG,English,387.0,7.8,USA,294810.0,2036.0,http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1,
Shahood,Tom Shadyac,Comedy|Fantasy|Romance,Liar Liar ,birthday|birthday wish|father disappoints child|lie|workaholic,86.0,Maura Tierney,Swoosie Kurtz,Randall 'Tex' Cobb,181395380.0,1997.0,PG-13,English,243.0,6.8,USA,220392.0,2070.0,http://www.imdb.com/title/tt0119528/?ref_=fn_tt_tt_1,
Shahood,Les Mayfield,Action|Comedy|Crime,Code Name: The Cleaner ,comic violence|hand to hand combat|kung fu|talking to self in mirror|violence,91.0,Callum Rennie,Will Patton,Cedric the Entertainer,8104069.0,2007.0,PG-13,English,26.0,4.5,USA,9785.0,2700.0,http://www.imdb.com/title/tt0462229/?ref_=fn_tt_tt_1,
Shahood,Tom Shadyac,Comedy|Fantasy|Romance,Liar Liar ,birthday|birthday wish|father disappoints child|lie|workaholic,86.0,Maura Tierney,Swoosie Kurtz,Randall 'Tex' Cobb,181395380.0,1997.0,PG-13,English,243.0,6.8,USA,220392.0,2070.0,http://www.imdb.com/title/tt0119528/?ref_=fn_tt_tt_1,
